Voltage (V),Current (A),Voltage error (V),Current error (A)
0.0025806451612903226,5.865102639296188e-06,0.0014134775677552675,5.245907278591882e-06
0.002580645161290322,2.346041055718475e-05,0.004775936909244321,1.7886159157744172e-05
0.00838709677419355,1.1730205278592376e-05,0.001956871082335884,1.0491814557183763e-05
0.005806451612903225,4.69208211143695e-05,0.007207349700009776,3.553109966184389e-05
0.0025806451612903234,7.038123167155426e-05,0.01005292964169417,5.972621521689603e-05
0.014838709677419357,8.797653958944282e-06,0.0023439873709141866,5.245907278591882e-06
0.024516129032258062,0.0,0.0011540996012902145,0.0
0.020645161290322584,5.865102639296188e-06,0.004525336236580691,3.2124490176256077e-06
0.027741935483870966,2.932551319648094e-06,0.0026756698520422864,2.622953639295941e-06
0.03290322580645162,0.0,0.004598330240311088,0.0
0.023225806451612905,2.6392961876832843e-05,0.007763411074318102,2.3606582753663468e-05
0.016774193548387096,8.211143695014662e-05,0.014058003819318552,6.0470317507481544e-05
0.04129032258064517,8.797653958944282e-06,0.001682374814245844,5.2459072785918825e-06
0.026451612903225806,7.917888563049854e-05,0.013939067639542089,6.145776843368792e-05
0.04387096774193548,8.797653958944282e-06,0.002826955135510535,5.2459072785918825e-06
0.04451612903225806,1.466275659824047e-05,0.0030806029384034387,7.183254377663279e-06
0.05741935483870968,2.932551319648094e-06,0.0019138576740892028,2.622953639295941e-06
0.05096774193548387,8.797653958944282e-06,0.002797352695313393,5.245907278591882e-06
0.056129032258064517,0.0,0.00443240362253359,0.0
0.061290322580645165,2.932551319648094e-06,0.0027371875400769583,2.622953639295941e-06
0.06451612903225808,5.865102639296188e-06,0.002580645161290323,3.2124490176256077e-06
0.0735483870967742,2.932551319648094e-06,0.010135399683435088,2.622953639295941e-06
0.049677419354838714,7.038123167155426e-05,0.012760500970401155,5.333697381531804e-05
0.07419354838709677,1.466275659824047e-05,0.0020401791355925034,5.865102639296187e-06
0.0767741935483871,8.797653958944282e-06,0.0014134775677552692,5.245907278591882e-06
0.08129032258064516,2.932551319648094e-06,0.002481985040215657,2.622953639295941e-06
0.08516129032258064,1.7595307917888564e-05,0.001956871082335885,2.6229536392959404e-06
0.07741935483870968,5.571847507331378e-05,0.005982979674513359,2.7943998239464153e-05
0.09483870967741936,0.0,0.0019568710823358857,0.0
0.09483870967741935,8.797653958944282e-06,0.0025153017664023137,5.2459072785918825e-06
0.09741935483870968,1.466275659824047e-05,0.0044135822907063384,5.865102639296187e-06
0.10064516129032257,1.7595307917888564e-05,0.004318245298240388,1.2715239524151789e-05
0.10129032258064516,2.932551319648094e-06,0.004616398405160853,2.622953639295941e-06
0.1032258064516129,5.865102639296188e-06,0.004375696763306624,3.2124490176256077e-06
0.11032258064516129,8.797653958944282e-06,0.003462298803870641,5.245907278591882e-06
0.11548387096774196,2.932551319648094e-06,0.0005770498006451059,2.622953639295941e-06
0.12258064516129033,1.1730205278592376e-05,0.0075238088965745775,4.907096929818625e-06
0.12064516129032259,5.865102639296188e-06,0.001471194096902111,3.2124490176256077e-06
0.1264516129032258,0.0,0.0024819850402156597,0.0
0.12838709677419355,0.0,0.0023081992025804294,0.0
0.13032258064516128,5.865102639296188e-06,0.0021591226491201984,5.245907278591882e-06
0.13096774193548386,2.0527859237536656e-05,0.0029705456601861525,8.8948685560722e-06
0.1329032258064516,8.797653958944282e-06,0.004775936909244322,5.2459072785918825e-06
0.1367741935483871,8.797653958944282e-06,0.0011540996012902132,5.245907278591882e-06
0.14193548387096774,1.1730205278592376e-05,0.0022349042678308103,1.0491814557183763e-05
0.14193548387096774,1.466275659824047e-05,0.0009123958466923138,5.865102639296187e-06
0.14516129032258066,1.466275659824047e-05,0.002737187540076957,5.865102639296187e-06
0.14903225806451612,0.0,0.0045983302403110864,0.0
0.15419354838709678,2.932551319648094e-05,0.0042207554151731915,1.606224508812804e-05
0.15419354838709676,2.932551319648094e-06,0.0038059048267748714,2.622953639295941e-06
0.1567741935483871,8.797653958944282e-06,0.004793335644130766,3.2124490176256077e-06
0.16451612903225804,5.865102639296188e-06,0.0024139725075960927,3.2124490176256077e-06
0.15741935483870967,5.865102639296188e-06,0.003913742164671765,5.245907278591882e-06
0.17032258064516131,1.466275659824047e-05,0.0023081992025804285,8.294507697202903e-06
0.1664516129032258,3.2258064516129034e-05,0.007160999703489864,2.8852490032255358e-05
0.16580645161290325,6.158357771260998e-05,0.012596350825151773,5.508202642521475e-05
0.19483870967741937,2.932551319648094e-06,0.007774126622653972,2.622953639295941e-06
0.1838709677419355,0.0,0.0015803159630859208,0.0
0.16516129032258062,8.211143695014662e-05,0.011410421145514398,5.41689144352789e-05
0.19032258064516128,2.932551319648094e-06,0.0024139725075960927,2.622953639295941e-06
0.18903225806451612,6.451612903225807e-05,0.013915158415012037,4.32190813535262e-05
0.19870967741935486,1.1730205278592376e-05,0.003238683973680291,7.647158246572023e-06
0.2,8.797653958944282e-06,0.0028852490032255373,5.2459072785918825e-06
0.20064516129032256,5.865102639296188e-06,0.004687974741828373,3.2124490176256077e-06
0.2064516129032258,2.0527859237536656e-05,0.009655890030384364,1.5294316493144046e-05
0.20387096774193547,0.0,0.002797352695313395,0.0
0.20838709677419356,2.932551319648094e-06,0.004337480339089449,2.622953639295941e-06
0.20838709677419356,4.69208211143695e-05,0.007985418553169449,4.196725822873505e-05
0.21806451612903227,1.7595307917888564e-05,0.003364749628491689,9.637347052876823e-06
0.21741935483870964,1.1730205278592376e-05,0.005955086843465458,6.4248980352512154e-06
0.2270967741935484,2.932551319648094e-06,0.0014711940969021138,2.622953639295941e-06
0.22516129032258064,1.7595307917888564e-05,0.002308199202580424,6.4248980352512154e-06
0.2296774193548387,2.0527859237536656e-05,0.004220755415173192,1.5294316493144046e-05
