U,I
-0.012903225806451613,7.331378299120235e-05
0.00967741935483871,0.0
0.0032258064516129032,1.466275659824047e-05
-0.006451612903225806,7.331378299120235e-05
0.012903225806451615,2.932551319648094e-05
0.01935483870967742,0.0
0.04193548387096774,1.466275659824047e-05
0.03225806451612903,0.0
0.03225806451612903,1.466275659824047e-05
0.03225806451612903,0.0
0.03870967741935484,0.0
0.03870967741935484,0.0
0.03870967741935484,0.0
0.03870967741935484,0.0
0.03870967741935484,1.466275659824047e-05
0.04838709677419355,1.466275659824047e-05
0.054838709677419356,1.466275659824047e-05
0.06451612903225806,0.0
0.054838709677419356,0.0
0.058064516129032254,1.466275659824047e-05
0.07096774193548387,0.0
0.07096774193548387,1.466275659824047e-05
0.05806451612903226,0.0
0.07096774193548387,1.466275659824047e-05
0.08064516129032258,0.0
0.08387096774193549,0.0
0.09032258064516129,0.0
0.08387096774193549,0.0
0.09032258064516129,0.0
0.09032258064516129,2.932551319648094e-05
0.1,0.0
0.10967741935483871,1.466275659824047e-05
0.1032258064516129,0.0
0.1064516129032258,0.0
0.08064516129032258,0.0001466275659824047
0.11290322580645161,0.0
0.11935483870967742,0.0
0.1064516129032258,7.331378299120235e-05
0.1096774193548387,5.865102639296188e-05
0.13225806451612904,0.0
0.13225806451612904,0.0
0.13225806451612904,0.0
0.13870967741935483,0.0
0.14193548387096774,1.466275659824047e-05
0.13870967741935483,0.0
0.15161290322580645,0.0
0.14516129032258066,0.0
0.14838709677419354,0.0
0.15483870967741933,1.466275659824047e-05
0.10645161290322581,0.00017595307917888563
0.15806451612903225,5.865102639296188e-05
0.16129032258064516,1.466275659824047e-05
0.10645161290322583,0.0002785923753665689
0.17096774193548386,0.0
0.17096774193548386,1.466275659824047e-05
0.18709677419354837,1.466275659824047e-05
0.1774193548387097,0.0
0.16451612903225807,1.466275659824047e-05
0.17741935483870966,1.466275659824047e-05
0.18709677419354837,1.466275659824047e-05
0.2,0.0
0.2064516129032258,1.466275659824047e-05
0.2064516129032258,0.0
0.2032258064516129,0.0
0.2,2.932551319648094e-05
0.2096774193548387,1.466275659824047e-05
0.2129032258064516,1.466275659824047e-05
0.22580645161290322,0.0
0.23225806451612904,0.0
0.21935483870967742,0.0
0.22258064516129034,0.0
0.22903225806451613,0.0
0.23225806451612904,0.0
0.22580645161290322,1.466275659824047e-05
0.25161290322580643,0.0
0.23548387096774195,2.932551319648094e-05
0.24193548387096775,0.0
0.24193548387096775,2.932551319648094e-05
0.25806451612903225,0.0
0.25161290322580643,0.0
0.25806451612903225,0.0
0.26129032258064516,1.466275659824047e-05
0.2645161290322581,0.0
0.267741935483871,0.0
0.26129032258064516,0.0
0.25806451612903225,0.0
0.27741935483870966,0.0
0.27419354838709675,1.466275659824047e-05
0.2838709677419355,0.0
